DiaMesAno,HoraMinutosSegundos,Longitude,Latitude,Velocidade,Altitude,Satelites,GyroX,GyroY,GyroZ,AccX,AccY
2015-11-7,17-20-51,-34.84532,-7.13575,1.89,0.00,3,172.63,12.28,30.88,0.2,-0.12
2015-11-7,17-20-51,-34.84532,-7.13575,1.89,0.00,3,173.65,10.71,30.88,0.17,-0.1
2015-11-7,17-20-51,-34.84531,-7.13576,0.57,0.00,3,173.73,10.10,30.88,0.17,-0.1
2015-11-7,17-20-51,-34.84531,-7.13576,0.57,0.00,3,173.17,12.59,30.88,0.2,-0.11
2015-11-7,17-20-51,-34.84531,-7.13576,0.57,0.00,3,173.42,11.24,30.88,0.18,-0.1
2015-11-7,17-20-51,-34.84531,-7.13576,0.57,0.00,3,172.76,12.82,30.88,0.2,-0.11
2015-11-7,17-20-51,-34.84531,-7.13576,0.57,0.00,3,172.40,13.45,30.88,0.22,-0.12
2015-11-7,17-20-51,-34.84531,-7.13576,0.57,0.00,3,173.02,12.16,30.88,0.2,-0.11
2015-11-7,17-20-51,-34.84531,-7.13576,0.57,0.00,3,172.60,12.66,30.88,0.21,-0.12
2015-11-7,17-20-51,-34.84532,-7.13576,0.57,51.80,5,172.20,12.60,30.88,0.21,-0.13
2015-11-7,17-20-51,-34.84532,-7.13576,0.57,51.80,5,172.05,12.15,30.88,0.2,-0.13
2015-11-7,17-20-51,-34.84532,-7.13576,0.57,51.80,5,173.49,9.28,30.88,0.16,-0.11
2015-11-7,17-20-51,-34.84532,-7.13576,0.57,51.80,5,174.02,8.53,30.88,0.14,-0.1
2015-11-7,17-20-51,-34.84532,-7.13576,0.57,51.80,5,173.35,9.12,30.88,0.15,-0.11
2015-11-7,17-20-51,-34.84532,-7.13576,0.57,51.80,5,173.08,9.22,30.88,0.16,-0.12
2015-11-7,17-20-51,-34.84532,-7.13576,0.57,51.80,5,172.67,12.62,30.88,0.21,-0.12
2015-11-7,17-20-51,-34.84532,-7.13576,0.57,51.80,5,173.94,11.07,30.88,0.18,-0.1
2015-11-7,17-20-51,-34.84532,-7.13576,0.57,51.80,5,172.67,13.42,30.88,0.22,-0.12
2015-11-7,17-20-51,-34.84532,-7.13576,0.57,51.80,5,173.64,12.15,30.88,0.2,-0.1
